method,horizon,forecast_quarter,target_quarter,train_start,train_end,selected_variables
Elastic net,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,1
Ridge,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,NA
Threshold ridge,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,17
Post-threshold ridge,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,17
OCMT,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,2
BMT,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,1
AR,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,0
LASSO,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,1
Elastic net,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,0
Ridge,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,NA
Threshold ridge,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,17
Post-threshold ridge,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,17
OCMT,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,3
BMT,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,1
AR,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0
LASSO,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0
Elastic net,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,1
Ridge,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,NA
Threshold ridge,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,16
Post-threshold ridge,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,16
OCMT,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,2
BMT,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,1
AR,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,0
LASSO,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,0
Elastic net,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,0
Ridge,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,NA
Threshold ridge,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,15
Post-threshold ridge,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,15
OCMT,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,3
BMT,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,1
AR,1,2011 Q3,2011 Q4,1991 Q3,2011 Q2,0
LASSO,1,2011 Q3,2011 Q4,1991 Q3,2011 Q2,1
Elastic net,1,2011 Q3,2011 Q4,1991 Q3,2011 Q2,1
Ridge,1,2011 Q3,2011 Q4,1991 Q3,2011 Q2,NA
Threshold ridge,1,2011 Q3,2011 Q4,1991 Q3,2011 Q2,16
