method,horizon,forecast_quarter,target_quarter,train_start,train_end,actual,forecast,forecast_error,squared_error,absolute_error,selected_variables,lambda
Elastic net,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,0.4453416266322563,0.733309697088522,-0.2879680704562657,0.08292560960230481,0.2879680704562657,0,0.44249807539257036
Ridge,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,0.4453416266322563,0.6845057759654748,-0.2391641493332185,0.05719949032628204,0.2391641493332185,NA,2.2124903769628648
Threshold ridge,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,0.4453416266322563,0.7094262647560681,-0.2640846381238118,0.06974069609298462,0.2640846381238118,16,2.2124903769628648
Post-threshold ridge,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,0.4453416266322563,0.7864531237435047,-0.34111149711124844,0.11635705346147725,0.34111149711124844,16,2.2124903769628648
OCMT,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,0.4453416266322563,0.5939355299392026,-0.14859390330694633,0.022080148099994115,0.14859390330694633,3,NA
BMT,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,0.4453416266322563,0.7171143938746449,-0.27177276724238864,0.07386043701458556,0.27177276724238864,1,NA
AR,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0.14392437648620415,0.5619163455170932,-0.4179919690308891,0.17471728617431975,0.4179919690308891,0,NA
LASSO,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0.14392437648620415,0.5619163455170932,-0.4179919690308891,0.17471728617431975,0.4179919690308891,1,0.2214078278624357
Elastic net,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0.14392437648620415,0.5619163455170932,-0.4179919690308891,0.17471728617431975,0.4179919690308891,1,0.4428156557248714
Ridge,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0.14392437648620415,0.44033126723039817,-0.296406890744194,0.08785704488064057,0.296406890744194,NA,2.2140782786243673
Threshold ridge,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0.14392437648620415,0.6113254018793395,-0.4674010253931353,0.21846371853855434,0.4674010253931353,16,2.2140782786243673
Post-threshold ridge,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0.14392437648620415,0.5910531905405585,-0.44712881405435434,0.1999241763576534,0.44712881405435434,16,2.2140782786243673
OCMT,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0.14392437648620415,0.6155574521347992,-0.471633075648595,0.22243775804575336,0.471633075648595,3,NA
BMT,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0.14392437648620415,0.5957645323388715,-0.45184015585266735,0.20415952644096272,0.45184015585266735,1,NA
AR,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0.11557374157504796,0.4271815670485961,-0.31160782547354815,0.09709943689635324,0.31160782547354815,0,NA
LASSO,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0.11557374157504796,0.4271815670485963,-0.3116078254735483,0.09709943689635335,0.3116078254735483,0,0.22130614941931356
Elastic net,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0.11557374157504796,0.4271815670485963,-0.3116078254735483,0.09709943689635335,0.3116078254735483,0,0.4426122988386271
Ridge,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0.11557374157504796,0.42218627239035506,-0.3066125308153071,0.09401124405296764,0.3066125308153071,NA,2.2130614941931475
Threshold ridge,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0.11557374157504796,0.5830408483496521,-0.4674671067746041,0.21852549591621914,0.4674671067746041,17,2.2130614941931475
Post-threshold ridge,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0.11557374157504796,0.555316073994204,-0.43974233241915606,0.19337331892143955,0.43974233241915606,17,2.2130614941931475
OCMT,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0.11557374157504796,0.4111109507132258,-0.2955372091381778,0.08734224198518306,0.2955372091381778,3,NA
BMT,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0.11557374157504796,0.20058483236051144,-0.08501109078546348,0.007226885556534314,0.08501109078546348,1,NA
AR,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0.9817259265515688,0.4069687542279763,0.5747571723235925,0.3303458071374118,0.5747571723235925,0,NA
