sasdate,RPI,DPCERA3M086SBEA,INDPRO,CMRMTSPLx,RETAILx,UNRATE,CLAIMSx,PAYEMS,AWHMAN,HOUST,PERMIT,M1SL,M2SL,BOGMBASE,BUSLOANS,NONREVSL,CPIAUCSL,PPICMM,PCEPI,OILPRICEx,FEDFUNDS,TB3MS,GS10,AAA,BAA,S&P 500,VIXCLSx,UMCSENTx,TERM_SPREAD,CREDIT_SPREAD
1986-02-01,0.0049251669726082525,-0.0024764688131160284,-0.00704382287145755,-0.005704611821881755,-0.00936189659657316,0.5,0.007470323365165399,0.001164091456949734,40.7,7.521859252201629,7.4770384723196965,0.003518449983076266,3.024346814859413e-4,-0.004306843554387818,-0.0010874477727504939,-2.638203326519317e-4,-0.005467806281411747,-0.010699796859922728,-0.004591214139446631,-0.22486317022126512,-0.28000000000000025,-0.010000000000000675,-0.4900000000000002,-0.3800000000000008,-0.33000000000000007,0.052397391660260695,20.6242,0.30000000000001137,1.6399999999999997,1.4399999999999995
1986-03-01,0.009395561771222916,0.0034125624908329932,-0.007148371663592279,9.753769686309255e-4,-0.006961526518471928,0,0.03117343139179063,8.797610044588566e-4,40.7,7.53689712956617,7.484368643286131,0.00709179962549733,0.0036992990032960194,0.034141715899082214,0.005628794286701044,-0.0040695487628461535,-0.003662980313769104,0.006317977076726322,-0.002194874283982795,0.19404227402216678,-0.3799999999999999,-0.5,-0.919999999999999,-0.6699999999999999,-0.6099999999999994,0.05713309193523397,23.564,-0.8000000000000114,1.2200000000000006,1.5
1986-04-01,0.0032934731971678843,0.006146800664636576,0.0014326780252771343,0.019935789656598146,0.006356985588617192,-0.10000000000000053,0.011865319463224111,0.0018883649043832662,40.5,7.566828479208331,7.527255919373784,-0.001418944054396576,0.0016972804726336221,1.799178624732889e-4,-0.0033496657681384434,0.006372053536459532,0.001811375730299325,-0.01370481025115211,1.5245409245023822e-4,0.21995265903886096,-0.4900000000000002,-0.5,-0.4800000000000004,-0.21000000000000085,-0.3100000000000005,0.024241033895111563,23.0154,1.1000000000000085,1.2400000000000002,1.4000000000000004
1986-05-01,0.0010850185187543104,0.005990746551039816,0.0014759828720576351,-0.00963666392197915,0.014417452124130037,0.10000000000000053,6.478782215602052e-4,0.0012804421794925247,40.7,7.5251007461258,7.493873886783559,0.005245647846507495,7.969566130530126e-4,-0.010815129221808384,-0.0029731770078402775,2.9322735567482994e-4,0.006429186813840637,0.004209417471087384,0.003869012338316047,0.16612430225166275,-0.14000000000000057,0.09000000000000075,0.41000000000000014,0.3000000000000007,0.09999999999999964,0.0020986366569211157,18.8928,-1.4000000000000057,1.5599999999999996,1.1999999999999993
1986-06-01,2.852922388942858e-4,-0.002254203856538517,-0.004037339462127143,0.006394566839805549,0.0010572509542292607,0,-0.04098392472868895,-9.374858929689367e-4,40.7,7.52131798019924,7.489970898834801,-0.0039111539759471015,-0.0027160818338902715,0.010452052295950587,0.005330152495925944,-0.002461205747929185,9.069196567574878e-4,0.011571868133724017,0.001894816096593921,-0.3209400871378296,0.07000000000000028,0.05999999999999961,0.08999999999999986,0.040000000000000924,0.05000000000000071,0.028112640936047484,18.598,4.5,1.5899999999999999,1.209999999999999
1986-07-01,0.004736909762263153,0.00655864264871564,0.006512386430606476,0.005891522856172671,0.0034074723677619545,-0.20000000000000018,-0.02320923291037147,0.0032019682189208254,40.6,7.485491608030754,7.484368643286131,0.001472909377186582,4.73019286413745e-4,-0.0036861941879120508,-0.0034038389052506446,7.893373375900126e-4,-0.0027493484900622533,-0.0052988480806330784,-0.0034672910548918523,-0.014713318859068014,-0.3600000000000003,-0.3799999999999999,-0.5,-0.25,-0.17999999999999972,-0.02101004161856057,19.639,-1.5999999999999943,1.4699999999999998,1.2799999999999994
1986-08-01,0.002105587632222239,0.004779347288681013,-0.0018566171981273527,0.0014202604158111143,0.010178120029754822,-0.09999999999999964,0.11815129196693519,0.0011554248475960094,40.7,7.499423290592229,7.453561871643373,-0.0021230300614218933,-7.097808166101061e-4,-0.011666455613743132,8.431098984917895e-4,-0.0026205357322801603,-8.340113151206197e-7,-0.008343126918322952,9.959806381929504e-4,0.4168603507741464,-0.3899999999999997,-0.2999999999999998,-0.1299999999999999,-0.16000000000000014,0.019999999999999574,0.019786300898844367,18.6381,-2.799999999999997,1.6399999999999997,1.459999999999999
1986-09-01,9.117325212422145e-4,0.02167709901088921,0.002549474375162397,0.023446347656266298,0.057095443199278506,0.09999999999999964,-0.0296447165849969,0.0034682926879021636,40.7,7.430707082545968,7.430114138561801,2.8333036021965796e-4,4.683722619196473e-4,0.0072565001590501055,0.0010738342220175667,0.008211985116107101,0.0027301660211414003,0.008332264826697688,0.00202399303073042,-0.2772486884511851,-0.28000000000000025,-0.3200000000000003,0.28000000000000025,0.16999999999999993,0.019999999999999574,-0.02772782644003069,22.7052,-3,2.24,1.3099999999999987
1986-10-01,2.513850045460231e-4,-0.014982160733738592,0.004253340551588103,-0.014223671857097386,-0.04275362776549585,0,-0.03146326945578437,0.0018694864358632657,40.6,7.427144133408616,7.423568444259167,-0.0018855748014718898,-6.961296745355838e-4,-6.531548057964187e-5,-0.005072263044037406,-0.0013881458134346047,-0.0018264603521034317,0.005125036560613694,-0.0014856684686703758,0.007832706855606997,-0.040000000000000036,-0.03000000000000025,-0.020000000000000462,-0.030000000000001137,0.040000000000000924,-0.00378390192912903,22.5239,3.6999999999999886,2.25,1.3800000000000008
1986-11-01,0.0015866017838970237,-0.0033184578605447435,0.003998607164955814,-0.003069121323218127,-0.004651266216358252,-0.09999999999999964,-0.053733871024785884,0.0018659979769442003,40.7,7.392031567514591,7.404887575616125,0.004145481577120691,-0.0021610655767894116,0.012828399432447846,0.012342044281167475,-0.01402099245548527,-3.2938022167527947e-6,-0.01033067038787916,-3.1927455128588633e-6,0.027720091309300532,0.1900000000000004,0.16999999999999993,-0.17999999999999972,-0.17999999999999972,-0.16999999999999993,0.0319198083584995,18.6315,-4.199999999999989,1.9000000000000004,1.3900000000000006
