method,horizon,forecast_quarter,target_quarter,train_start,train_end,actual,forecast,forecast_error,squared_error,absolute_error,selected_variables,lambda
Post-threshold ridge,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0.5936625931315831,-0.12887481894440567,0.7225374120759888,0.5220603118494672,0.7225374120759888,14,1.983850935607614
OCMT,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0.5936625931315831,0.508545168841984,0.08511742428959912,0.007244975917695638,0.08511742428959912,1,NA
BMT,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0.5936625931315831,0.508545168841984,0.08511742428959912,0.007244975917695638,0.08511742428959912,1,NA
AR,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,-0.5266423802783748,0.6883598154393776,-1.2150021957177524,1.4762303355989594,1.2150021957177524,0,NA
LASSO,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,-0.5266423802783748,0.6883598154393775,-1.2150021957177524,1.4762303355989594,1.2150021957177524,1,0.19489748437592405
Elastic net,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,-0.5266423802783748,0.9700574876656549,-1.4966998679440298,2.2401104947036763,1.4966998679440298,2,0.3236146310272385
Ridge,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,-0.5266423802783748,0.652619729112888,-1.1792621093912627,1.3906591226459306,1.1792621093912627,NA,1.9489748437592502
Threshold ridge,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,-0.5266423802783748,1.0524586512297862,-1.579101031508161,2.4935600677101384,1.579101031508161,15,1.9489748437592502
Post-threshold ridge,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,-0.5266423802783748,1.043494672457495,-1.5701370527358698,2.4653303643740836,1.5701370527358698,15,1.9489748437592502
OCMT,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,-0.5266423802783748,3.065519890362234,-3.5921622706406087,12.903629778613894,3.5921622706406087,2,NA
BMT,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,-0.5266423802783748,3.9231447511610513,-4.449787131439426,19.800605515123916,4.449787131439426,1,NA
AR,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,-2.2133412739485436,0.3680767255615691,-2.581417999510113,6.6637188881947935,2.581417999510113,0,NA
LASSO,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,-2.2133412739485436,0.36807672556156923,-2.581417999510113,6.6637188881947935,2.581417999510113,0,0.19434461560385982
Elastic net,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,-2.2133412739485436,0.36807672556156923,-2.581417999510113,6.6637188881947935,2.581417999510113,0,0.3886892312077196
Ridge,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,-2.2133412739485436,0.33920651390621515,-2.552547787854759,6.515500209282223,2.552547787854759,NA,1.943446156038607
Threshold ridge,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,-2.2133412739485436,0.5281079306464717,-2.7414492045950154,7.515543741374643,2.7414492045950154,14,1.943446156038607
Post-threshold ridge,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,-2.2133412739485436,-0.10181700116901879,-2.111524272779525,4.4585347545371015,2.111524272779525,14,1.943446156038607
OCMT,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,-2.2133412739485436,0.5488985061285085,-2.762239780077052,7.629968602640121,2.762239780077052,1,NA
BMT,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,-2.2133412739485436,0.5488985061285085,-2.762239780077052,7.629968602640121,2.762239780077052,1,NA
AR,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,-1.1413631359902254,-0.5536528918499409,-0.5877102441402845,0.3454033310674328,0.5877102441402845,0,NA
LASSO,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,-1.1413631359902254,-0.5536528918499415,-0.5877102441402839,0.34540333106743215,0.5877102441402839,0,0.20226236973680004
Elastic net,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,-1.1413631359902254,-0.5536528918499415,-0.5877102441402839,0.34540333106743215,0.5877102441402839,0,0.40452473947360007
Ridge,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,-1.1413631359902254,-2.039212682782842,0.8978495467926164,0.8061338086757067,0.8978495467926164,NA,2.02262369736801
Threshold ridge,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,-1.1413631359902254,-1.2339456681522338,0.0925825321620084,0.00857152526152932,0.0925825321620084,21,2.02262369736801
Post-threshold ridge,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,-1.1413631359902254,-4.989519699946473,3.8481565639562474,14.808308940719552,3.8481565639562474,21,2.02262369736801
